def euler002 ( ) :	関数 euler002 の定義
fib = [ 1 , 2 ]	fib に 1 と 2 からなるリストを代入
while fib [ -1 ] <  4000000 :	fib の末尾要素が 4000000 未満の間繰り返し
fib . append ( fib [ -1 ] + fib [ -2 ] )	fib の末尾要素とその次の要素を足して fib の末尾に追加する
s = 0	s に 0 を代入
for x in fib :	fib の各要素を前から順に x として
if x % 2 == 0 :	x が 2 でわりきれるなら
s += x	s に x を足す
return s	s を返す
def euler002_divide_2 ( n ) :	n を引数とする関数 euler002_divide_2 の定義
return n % 2 == 0	n が 2 で割り切れる場合 True 、そうでなければ False を返す
def euler002_add_param ( a , b ) :	a と b を引数とする関数 euler002_add_param の定義
return a + b	a と b の和を返す
def euler002_sum_list ( l ) :	l を引数とする関数 euler002_sum_list の定義
s = 0	s に 0 を代入
for x in l :	l の各要素を順に x として
s += x	s に x を足す
return s	s を返す
def euler002_sum_list_a ( l ) :	l を引数とする関数 euler002_sum_list_a の定義
return sum ( l )	l の全要素の総和を返す
def euler002_n_fibnocci_sequence ( n ) :	n を引数とする関数 euler002_n_fibonacci_sequence の定義
fibs = [ 0 , 1 ]	fibs に 0 と 1 からなるリストを代入
a = n - 2	a に n から 2 を引いた数を代入
if n == 1 :	もし n が 1 であれば
return [ 0 ]	0 のみからなるリストを返す
else :	そうでなければ
while a >  0 :	a が 0 より大きい間
fibs . append ( fibs [ -1 ] + fibs [ -2 ] )	fibs の末尾要素とその次の要素を足して fibs の末尾に追加
a -= 1	a から 1 を引く
return fibs	fibs を返す
def euler002_n_fibnocci_number ( n ) :	n を引数とする関数 euler002_n_fibonacci_number の定義
fibs = [ 0 , 1 ]	fibs に 0 と 1 からなるリストを代入
if 0 <  n <= 2 :	もし n が 0 より大きく、かつ 2 以下であるなら
return fibs [ n - 1 ]	fibs の n -1 番目の要素を返す
else :	そうでなければ
a = n - 2	a に n から 2 を引いた数を代入
while a >  0 :	a が 0 より大きい間
fibs . append ( fibs [ -1 ] + fibs [ -2 ] )	fibs の末尾要素とその次の要素を足して fibs の末尾に追加
a -= 1	a から 1 を引く
return fibs [ -1 ]	fibs の末尾要素を返す
def euler003 ( ) :	関数 euler003 の定義
n = 600851475143	n に 600851475143 を代入
i = 2	i に 2 を代入
while i * i <  n :	i の自乗が n 未満の間
while n % i == 0 :	n が i で割り切れる間
n = n / i	n を i で割る
i = i + 1	i に 1 を足す
return int ( n )	n を整数にした結果を返す
def euler003_n_morethan_square ( a , n ) :	a と n を引数とする関数 euler003_n_morethan_square の定義
return a * a <  n	a の自乗が n より小さければ True 、そうでなければ False を返す
def euler003_n_divide_a ( n , a ) :	n と a を引数とする関数 euler003_n_divide_a の定義
while n % a == 0 :	n が a で割り切れる間
n /= a	n を a で割る
return int ( n )	n を整数にした結果を返す
def euler004 ( ) :	関数 euler004 の定義
ans = 0	ans に 0 を代入
for j in range ( 999 , 99 , -1 ) :	99 より大きく 999 以下の整数を大きい方から順に j として
for i in range ( 999 , 99 , -1 ) :	99 より大きく 999 以下の整数を大きい方から順に i として
s = ( str ) ( j * i )	s に j と i の積の文字列表現を代入
a = ''	a に空文字列を代入
b = ''	b に空文字列を代入
sep = ( int ) ( len ( s ) / 2 ) + ( len ( s ) % 2 )	sep に s の長さを 2 で割った商と s を 2 で割った余りの和を代入
for k in range ( sep ) :	sep 未満の非負整数を順に k として
a += s [ k ]	a に s の k 番目の要素を足す
b += s [ len ( s ) - k - 1 ]	b に s の後ろから k 番目の要素を足す
if a == b :	もし a と b が等しければ
ans = max ( ans , i * j )	ans と、 i と j の積の大きい方を新しい ans とする
return ans	ans を返す
def euler004_n_slice ( s , n ) :	s と n を引数とする関数 euler004_n_slice の定義
ret = ''	ret に空文字列を代入
for i in range ( n ) :	n 未満の非負整数を順に i として
ret += s [ i ]	ret に s の i 番目の要素を足す
return ret	ret を返す
def euler004_n_bslice ( s , n ) :	s と n を引数とする関数 euler004_n_bslice の定義
ret = ''	ret に空文字列を代入
for i in range ( n ) :	n 未満の非負整数を順に i として
ret += s [ len ( s ) - 1 - i ]	ret に s の後ろから i 番目の要素を足す
return ret	ret を返す
def euler004_is_equal ( a , b ) :	a と b を引数とする関数 euler004_is_equal の定義
return a == b	a と b が等しければ True 、そうでなければ False を返す
def euler004_half_digit ( n ) :	n を引数とする関数 euler004_half_digit の定義
s = ( str ) ( n )	s に n の文字列表現を代入
a = len ( s )	a に s の長さを代入
return ( int ) ( a / 2 ) + ( a % 2 )	a を 2 で割った商と s を 2 で割った余りの和を返す
def euler004_multiple ( a , b ) :	a と b を引数とする関数 euler004_multiple を定義
return a * b	a と b の積を返す
def euler004_multiple_a ( a , b ) :	a と b を引数とする関数 euler004_multiple_a の定義
res = 0	res に 0 を代入
for i in range ( b ) :	以下の処理を b 回繰り返す
res += a	res に a を足す
return res	res を返す
def euler004_string_reverse ( s ) :	s を引数とする関数 euler004_string_reverse の定義
ret = ''	ret に空文字列を代入
for ch in reversed ( s ) :	s の各要素を後ろから順に ch として
ret += ch	ret に ch を足す
return ret	ret を返す
def euler004_is_palindromic ( s ) :	s を引数とする関数 euler004_is_palindromic の定義
rs = ''	rs に空文字列を代入
for ch in reversed ( s ) :	s の各要素を後ろから順に ch として
rs += ch	rs に ch を足す
return s == rs	s と rs が等しければ True 、そうでなければ False を返す
def euler005 ( ) :	関数 euler005 の定義
prime = [ ]	prime に空のリストを代入
for i in range ( 2 , 20 ) :	2 から 20 未満の整数を順に i として
l = [ ]	l に空リストを代入
for y in prime :	prime の各要素を y として
if i % y == 0 :	もし i が y で割り切れるなら
l . append ( y )	l に y を追加する
if len ( l ) == 0 :	もし l の長さが 0 であれば
prime . append ( i )	prime に i を追加する
a = 1	a に 1 を代入
for p in prime :	prime の各要素を p として
for i in range ( int ( 20 ** ( 1 / p ) ) ) :	20 の 1 / p 乗未満の非負整数を順に i として
a = a * p	a に p を掛ける
return a	a を返す
def euler005_enum_prime ( n ) :	n を引数とする関数 euler005_enum_prime の定義
prime = [ ]	prime に空リストを代入
for i in range ( 2 , n + 1 ) :	2 から n までの各整数を順に i として
f = True	f に True を代入
for j in prime :	prime 内の各要素を j として
if i % j == 0 :	i が j で割り切れるなら
f = False	f を False にする
break	ループから抜ける
if f :	f が True であれば
prime . append ( i )	prime に i を追加する
return prime	prime を返す
def euler005_enum_prime_a ( n ) :	n を引数とする関数 euler005_enum_prime_a の定義
primes = [ ]	primes を空リストとする
for i in range ( 2 , n + 1 ) :	2 から n までの各整数を順に i として
if i == 2 :	i が 2 であれば
primes . append ( i )	primes に i を追加する
else :	そうでなければ
for j in range ( 2 , int ( i ** 0.5 ) + 1 ) :	2 から i の平方根までの整数を j として
if i % j == 0 :	i が j で割り切れるなら
break	ループを抜ける
else :	ループが正常に終了した場合
primes . append ( i )	primes に i を追加する
return primes	primes を返す
def euler005_enum_prime_b ( n ) :	n を引数とする関数 euler005_enum_prime_b の定義
primes = [ True ] * ( n + 1 )	primes を True が n + 1 個繋がったリストとする
ret = [ ]	ret を空リストとする
for i in range ( 2 , int ( n ** 0.5 ) + 1 ) :	2 から n の平方根までの整数を i として
if primes [ i ] :	もし primes の i 番目が True であれば
for j in range ( i + i , n + 1 , i ) :	i の自乗から n までの i 個飛ばしの整数を j として
primes [ j ] = False	primes の j 番目を False にする
for i in range ( 2 , n + 1 ) :	2 から n + 1 までの整数を順に i として
if primes [ i ] :	もし primes の i 番目が True であれば
ret . append ( i )	ret に i を追加する
return ret	ret を返す
def euler005_expmax ( p , n ) :	p と n を引数とする関数 euler005_expmax の定義
a = 1	a に 1 を代入
while a <  n :	a が n より小さい間
a *= p	a に p を掛ける
return int ( a / p )	a 割る p の整数部分を返す
def euler005_expmax_a ( p , n ) :	p と n を引数とする関数 euler005_expmax_a の定義
return p ** int ( n ** ( 1 / p ) )	p の ( n の p 乗根の整数部分 ) 乗を返す
def euler006 ( ) :	関数 euler006 の定義
sumofsq = 0	sumofsq に 0 を代入
for i in range ( 100 ) :	100 未満の非負整数を小さい方から順に i として
sumofsq += ( i + 1 ) * ( i + 1 )	sumofsq に i + 1 の自乗を足す
sqofsum = 101 * 50	sqofsum に 101 と 50 の積を代入
return sumofsq - sqofsum	sumofsq と sqofsum の差を返す
def euler006_make_common_diff_sequence ( s , d , n ) :	s と d と n を引数とする関数 euler006_make_common_diff_sequence の定義
ret = [ s ]	ret に s のみからなるリストを代入
for i in range ( n - 1 ) :	以下の処理を n -1 回繰り返す
ret . append ( ret [ -1 ] + d )	ret の末尾要素に d を加えたものを ret の末尾に追加する
return ret	ret を返す
def euler006_make_common_diff_sequence_a ( s , d , n ) :	s と d と n を引数とする関数 euler006_make_common_dif_sequence_a の定義
ret = [ ]	ret を空リストとする
for i in range ( s , s + ( d * n ) , d ) :	s から d 個飛ばしで n 個の整数を i として
ret . append ( i )	ret に i を追加
return ret	ret を返す
def euler006_n_square ( n ) :	n を引数とする関数 euler006_n_sequence の定義
return n * n	n の自乗を返す
def euler006_n_square_a ( n ) :	n を引数とする関数 euler006_n_square_a の定義
ret = 0	ret に 0 を代入
for i in range ( n ) :	以下の処理を n 回繰り返す
ret += n	ret に n を足す
return ret	ret を返す
def euler006_sum_a_to_b ( a , b ) :	a と b を引数とする関数 euler006_sum_a_to_b の定義
s = 0	s に 0 を代入
while a <  b :	a が b より小さい間
s += a	s に a を足す
a += 1	a に 1 を足す
return s	s を返す
def euler006_sum_a_to_b_a ( a , b ) :	a と b を引数とする関数 euler006_sum_a_to_b_a の定義
return sum ( range ( a , b ) )	a 以上 b 未満の整数の総和を返す
def euler007 ( ) :	関数 euler007 の定義
count = 0	count を 0 とする
p = 1	p を 1 とする
pl = [ ]	pl を空のリストとする
while count <  10001 :	count が 10001 未満である間
p += 1	p に 1 を足す
l = [ i for i in range ( 2 , int ( math . sqrt ( p ) ) + 1 ) if p % i == 0 ]	2 から p の平方根までの整数 i のうち、 p を割り切ることができるもののリストを l に代入
if len ( l ) == 0 :	もし l が空なら
count += 1	count に 1 を足す
return p	p を返す
def euler007_n_division ( a , n ) :	a と n を引数とする関数 euler007_n_difision の定義
return a % n == 0	a が n で割り切れるなら True 、そうでないなら False を返す
def euler007_n_division_a ( a , n ) :	a と n を引数とする関数 euler007_n_division_a の定義
while a >  0 :	a が 0 より大きい間
a -= n	a から n を引く
return a == 0	a が 0 であれば True 、そうでなければ False を返す
def euler007_is_prime ( a ) :	a を引数とする関数 euler007_is_prime の定義
dl = [ ]	dl を空リストとする
for i in range ( 2 , a ) :	2 以上 a 未満の整数を順に i として
if a % i == 0 :	a が i で割り切れるなら
dl . append ( i )	dl に i を追加
return len ( dl ) == 0	dl が空であれば True 、そうでなければ False を返す
def euler007_is_prime_a ( a ) :	a を引数とする関数 euler007_is_prime_a の定義
if a <  2 :	もし a が 2 未満であれば
return False	False を返す
elif a == 2 :	そうでなく、もし a が 2 であれば
return True	True を返す
else :	いずれでもなければ
for i in range ( 2 , int ( a ** 0.5 ) + 1 ) :	2 から a の平方根までの整数を順に i として
if a % i == 0 :	もし a が i で割り切れれば
return False	False を返す
return True	True を返す
def euler007_succ ( a ) :	a を引数とする関数 euler007_succ の定義
return a + 1	a に 1 を足した数を返す
def euler007_is_less ( a , b ) :	a と b を引数とする関数 euler007_is_less の定義
return a <  b	a が b より小さければ True 、そうでなければ False を返す
def euler007_is_equale_zero ( a ) :	a を引数とする関数 euler007_is_equale_zero の定義
return a == 0	a が 0 であれば True 、そうでなければ False を返す
def euler008 ( ) :	関数 euler008 の定義
sl = [ ]	sl を空リストとする
for i in range ( 5 ) :	5 未満の非負整数 i について
sl . append ( int ( s [ i ] ) )	sl に s の i 番目の要素の表す整数を追加
m = 1	m を 1 とする
for i in sl :	sl 内の各要素を i として
m *= i	m に i を掛ける
for i in range ( 5 , len ( s ) ) :	5 から s の要素数未満の整数 i について
sl . append ( int ( s [ i ] ) )	sl に s の i 番目の要素の表す整数を追加
sl . pop ( 0 )	sl の最初の要素を削除する
a = 1	a を 1 とする
for j in sl :	sl 内の各要素を j として
a *= j	a に j を掛ける
m = max ( m , a )	m と a の大きい方を新しい m とする
return m	m を返す
def euler008_all_product ( l ) :	l を引数とする関数 euler008_all_product の定義
ret = 1	ret を 1 とする
for x in l :	l 内の全ての要素 x について
ret *= x	ret に x を掛ける
return ret	ret を返す
def euler008_list_slice ( l , s , c ) :	l と s と c を引数とする関数 euler008_list_slice の定義
ret = [ ]	ret を空のリストとする
for i in range ( c ) :	c 未満の非負整数 i について
ret . append ( l [ s + i ] )	l の s + i 番目の要素を ret に追加する
return ret	ret を返す
def euler008_elem_max ( a , b ) :	a と b を引数とする関数 euler008_elem_max の定義
return b if a <  b else a	b が a より大きければ b 、そうでなければ a を返す
def euler008_elem_max_a ( a , b ) :	a と b を引数とする関数 euler008_elem_max_a の定義
return max ( a , b )	a と b の大きい方を返す
def euler008_list_add ( l , a ) :	l と a を引数とする関数 euler008_list_add の定義
tmp = [ a ]	tmp を a のみからなるリストとする
l += tmp	l の末尾に tmp を結合する
return l	l を返す
def euler008_list_add_a ( l , a ) :	l と a を引数とする関数 euler008_list_add_a の定義
l . append ( a )	l の末尾に a を追加する
return l	l を返す
def euler009 ( ) :	関数 euler009 の定義
for i in range ( 1 , 1000 ) :	1 以上 1000 未満の整数 i について
for j in range ( i , 1000 ) :	i 以上 1000 未満の整数 j について
for k in range ( j , 1000 ) :	j 以上 1000 未満の整数 k について
p = i * i + j * j	p に i の自乗と j の自乗の和を代入
if p == k * k and i + j + k == 1000 :	もし p が k の自乗と等しく、かつ i と j と k の和が 1000 であれば
return i * j * k	i と j と k の積を返す
def euler009_is_pythagoras ( a , b , c ) :	a と b と c を引数とする関数 euler009_is_pythagoras の定義
return a * a + b * b == c * c	a の自乗と b の自乗が c の自乗と等しければ True 、そうでなければ False を返す
def euler009_n_square ( n ) :	n を引数とする関数 euler009_n_square の定義
return n * n	n の自乗を返す
def euler009_n_square_a ( n ) :	n を引数とする関数 euler009_n_square_a の定義
ret = 0	ret に 0 を代入する
for i in range ( n ) :	以下の処理を n 回繰り返す
ret += n	ret に n を足す
return ret	ret を返す
def euler009_is_sum_equation1000 ( tp ) :	tp を引数とする関数 euler009_is_sum_equation1000 の定義
s = 0	s に 0 を代入
for x in tp :	tp の各要素を x として
s += x	s に x を足す
return s == 1000	s が 1000 ならば True 、そうでなければ False を返す
def euler009_is_sum_equation1000_a ( tp ) :	tp を引数とする関数 euler009_is_sum_equation1000_a の定義
return sum ( tp ) == 1000	tp の各要素の総和が 1000 と等しければ True 、そうでなければ False を返す
def euler009_all_product ( l ) :	l を引数とする関数 euler009_all_product の定義
ret = 1	ret を 1 とする
for a in l :	l 内の全要素 a について
ret *= a	a を ret に掛ける
return ret	ret を返す
def euler010 ( ) :	関数 euler010 の定義
p = [ True ] * 2000000	p に True のみからなるリストを代入
for x in range ( 2 , int ( 2000000 ** 0.5 ) + 1 ) :	x を 2 から 2000000 の 0.5 乗までの間で変化させて繰り返し
if p [ x ] :	もし p の x 番目が真であれば
for i in range ( 2 * x , len ( p ) , x ) :	i を x の 2 倍から p の長さ未満まで x ごとに変化させて繰り返し
p [ i ] = False	p の i 番目に False を代入
ret = [ ]	ret に空のリストを代入
for i in range ( 2 , 2000000 ) :	i を 2 から 2000000 まで変化させて繰り返し
if p [ i ] :	もし p の i 番目が真であれば
ret . append ( i )	ret の末尾に i を追加
return sum ( ret )	ret の要素の総和を返す
def euler010_enum_prime ( n ) :	引数 n を取る関数 euler010_enum_prime の定義
p = [ True ] * n	True が n 個並んでいるリストを p に代入
for x in range ( 2 , int ( n ** 0.5 ) + 1 ) :	x を 2 から n の平方根の範囲で変化させて繰り返し
if p [ x ] :	p の x 番目が真であれば
for i in range ( 2 * x , len ( p ) , x ) :	i を x の 2 倍から p の長さまで x 単位で変化させて繰り返し
p [ i ] = False	p の i 番目を False にする
ret = [ ]	ret に空のリストを代入
for i in range ( 2 , n ) :	i を 2 以上 n 未満の間で増加させながら繰り返し
if p [ i ] :	もし p の i 番目が真であれば
ret . append ( i )	ret の末尾に i を追加
return ret	ret を返す
def euler010_n_is_prime ( n ) :	n を引数とする関数 euler010_n_is_prime の定義
judge = True	judge に True を代入
if n <  2 :	もし n が 2 より小さければ
return False	False を返す
elif n == 2 :	そうでなくて、もし n が 2 であれば
return True	True を返す
for i in range ( 2 , int ( n ** 0.5 ) + 1 ) :	i を 2 以上 n の平方根以下の間で繰り返し
if judge and n % i == 0 :	もし judge が真でかつ n が i で割り切れるなら
judge = False	judge を False にする
return judge	judge を返す
def euler010_list_sum ( l ) :	l を引数とする関数 euler010_list_sum の定義
s = 0	s に 0 を代入
for x in l :	l に含まれる各要素を x に代入して繰り返し
s += x	s に x を足す
return s	s を返す
def euler010_list_sum_a ( l ) :	l を引数とする関数 euler010_list_sum_a の定義
return sum ( l )	l 内の要素の総和を返す
def euler010_n_multiple_list ( s , e , d ) :	s , e , d を引数とする関数 euler010_n_multiple_list の定義
ret = [ ]	ret に空のリストを代入
while s <  e :	s が e より小さい間繰り返し
ret . append ( s )	ret の末尾に s を追加する
s += d	s に d を足す
return ret	ret を返す
def euler011 ( ) :	関数 euler001 の定義
grid = '' '' '' . split ( )	grid に文字列を空白文字で分割したリストを代入
q = [ ]	q に空リストを代入
for ch in grid :	grid 中の各要素を順に ch として
q . append ( int ( ch ) )	q の末尾に ch の表す数値を追加
m = 0	m を 0 にする
for i in range ( 20 ) :	0 から 20 未満の整数を順に i として
for j in range ( 20 ) :	0 から 20 未満の整数を順に j として
if j <= 16 :	もし j が 16 以下であれば
m = max ( m , q [ i * 20 + j ] * q [ i * 20 + j + 1 ] * q [ i * 20 + j + 2 ] * q [ i * 20 + j + 3 ] )	現在の m と ( q [ i * 20 + j ] * q [ i * 20 + j + 1 ] * q [ i * 20 + j + 2 ] * q [ i * 20 + j + 3 ] ) のうち大きい方を新しい m とする
if i <= 16 :	もし i が 16 以下であれば
m = max ( m , q [ i * 20 + j ] * q [ ( i + 1 ) * 20 + j + 1 ] * q [ ( i + 2 ) * 20 + j + 2 ] * q [ ( i + 3 ) * 20 + j + 3 ] )	現在の m と ( q [ i * 20 + j ] * q [ ( i + 1 ) * 20 + j + 1 ] * q [ ( i + 2 ) * 20 + j + 2 ] * q [ ( i + 3 ) * 20 + j + 3 ] ) のうち大きい方を新しい m とする
if 4 <= j and i <= 16 :	もし j が 4 以上で i が 16 以下であれば
m = max ( m , q [ i * 20 + j ] * q [ ( i + 1 ) * 20 + j -1 ] * q [ ( i + 2 ) * 20 + j -2 ] * q [ ( i + 3 ) * 20 + j -3 ] )	現在の m と ( q [ i * 20 + j ] * q [ ( i + 1 ) * 20 + j -1 ] * q [ ( i + 2 ) * 20 + j -2 ] * q [ ( i + 3 ) * 20 + j -3 ] ) のうち大きい方を新しい m とする
if i <= 16 :	もし i が 16 以下であれば
m = max ( m , q [ i * 20 + j ] * q [ ( i + 1 ) * 20 + j ] * q [ ( i + 2 ) * 20 + j ] * q [ ( i + 3 ) * 20 + j ] )	現在の m と ( q [ i * 20 + j ] * q [ ( i + 1 ) * 20 + j ] * q [ ( i + 2 ) * 20 + j ] * q [ ( i + 3 ) * 20 + j ] ) のうち大きい方を新しい m とする
return m	m を返す
def euler011_less_or_equal ( a , b ) :	a と b を引数とする関数 euler011_less_or_equal の定義
return a <= b	a が b 以下であれば True 、そうでなければ False を返す
def euler011_less_or_equal_a ( a , b ) :	a と b を引数とする関数 euler011_less_or_equal_a の定義
res = b - a	res に b と a の差を代入
return res >= 0	res が 0 以上であれば True 、そうでなければ False を返す
def euler011_over_or_equal ( a , b ) :	a と b を引数とする関数 euler011_over_or_equal の定義
return b <= a	b が a 以下であれば True 、そうでなければ False を返す
